"Артикул","Название модели (англ. ориг. поставщика)","Подгруппа"
"WHB456/009","BALBOA TOP HANDLE CROSSBODY","Crossbody"
"WHB454/500","BALBOA MINI CROSSBODY","Crossbody"
"WHB454/009","BALBOA MINI CROSSBODY","Crossbody"
"WHB453/009","LAUREL BACKPACK","Backpack"
"WHB451/009","LAUREL CROSSBODY","Crossbody"
"WHB449/009","SOLSTICE FLOWER APPLIQUE MINI BACKPACK","Backpack"
"WHB448/500","SOLSTICE SPORTY STRIPE MINI BACKPACK","Backpack"
"WHB433/009","BRENTWOOD BACKPACK","Backpack"
"WHB430/009","BRENTWOOD DUFFLE","Crossbody"
"WHB429/009","BRENTWOOD MULTI CLUTCH","Clutch"
"WFWJ53188/500","HW FLEECE BONDED NYLON PARKA","Куртки"
"WFWJ52549/009","HW PUFFER COAT","Пальто"
"WFKT56742/009","KNT JUICY CHAIN GRAPHIC TEE","Футболки"
"WFKT56729/009","KNT EAU DE COUTURE GRAPHIC TEE","Футболки"
"WFKT56707/009","KNT LEOPARD FASHION GRAPHIC TEE","Футболки"
"WFKT56694/500","KNT PONTE EMBELLISHED BLOUSE","Блузки"
"WFKT53193/009","KNT JERSEY JUICY ICONIC TEE","Футболки"
"WFKT53120/009","KNT JUICY PLAYING CARD FASHION GRPHC TEE","Футболки"
"WFKT52598/009","KNT JUICY NEW BLACK FASHION GRAPHIC TEE","Футболки"
"WFKD52590/009","KNT PONTE EMBROIDERED PAISLEY DRESS","Платья"
"WFKD52542/009","KNT PONTE EMBELLISHED DRESS","Платья"
"WFKB53532/009","KNT HIGH WAISTED 5 PKT PONTE JEAN","Джинсы"
"WFKB52714/500","FT COLOR BLOCK FRENCH TERRY PANT","Брюки"
"WFKB52580/009","KNT PONTE HIGH WAISTED FLARE JEAN","Джинсы"
"WFA149/009","JUICY JACQUARD GLOVES","Перчатки, варежки, муфты"
"WFA134/009","JUICY JACQUARD SCARF","Шарфы"
"WFA133/009","JUICY JACQUARD HAT","Шапки"
"WSKT42609/007","SPT COMPRESSION RACER BACK BRA","Бюстгальтеры"
"WFSJ47787/004","SWTR EMBELLISHED BIRDSEYE KNIT JACKET","Жакеты"
"WFKT45063/009","KNT I WANT U GRAPHIC TEE","Футболки"
"WFKT42001/009","FT MATISSE FLORAL APPLIQUE PULLOVER","Свитера"
"WFKD42148/002","KNT PONTE MATISSE FLORAL DRESS","Платья"
"WFWD42007/001","SW SILK SEA SPRAY FLORAL SHIRT DRESS","Платья"
"WSG71/001","LARCHMONT COSMETIC BAG","Косметички"
"WSG89/001","SWAROVSKI TECH WRISTLET","Кошельки"
"WSG46/001","LUXE LOCKS FLAP WALLET","Кошельки"
"WFKB32259/009","PLEATED PONTE SKIRT","Юбки"
"WFA48/001","JUICY STUDDED LOGO SCARF","Шарфы"
"WFWT33371/009","THE JUICY BLOUSE","Блузки"
"WFWT32505/009","LEATHER MOTO","Куртки"
"WFWT32504/009","LT WT MIXED PUFFER VEST","Жилеты"
"WFWT32408/976","BI COLORED LEOPARD TEE","Футболки"
"WFWB32244/009","REBEL ROMANCE EMBROIDERED SKIRT","Юбки"
"WFST32308/009","BOXY PULLOVER","Свитера"
"WFST32287/026","TEXTURED HEART GRAPHIC PULLOVER","Свитера"
"PATTY/BLACK","PATTY","Балетки"
"WSKT25214/FPLEO","MESH RACERBACK BRA","Бюстгальтеры"
"WSKB24601/FPLEO","CROP LEGGING","Леггинсы"
"WFST24300/PBLK","EMBELLISHED FLORAL ZIP CARDIGAN","Кардиганы"
"WFKT24231/PBLK","EMBELLISHED MIXED FABRIC TOP","Блузки"
"WFST26380/PBLK","TONAL DAISY INTARSIA PULLOVER","Свитера"
"WFWB24716/PBLK","GLAMOUR-SOFT SKINNY","Джинсы"
"JG010388/BCHEE","SUPER SOFT SKINNY BAROQUE CHEETAH","Джинсы"
"JG010379/PBLK","CUPID SCROLL FLOCKED SCUBA LEGGING","Леггинсы"
"JG009842/PBTRU","True rose printed blouse","Блузки"
"JG008318/BLK","SLIM COMFY PANT","Брюки"
"JG006697/BLK","VELOUR BLING BOOTCUT PANT","Брюки"
"JG005959/BLK","J BLING HOODIE","Толстовки"
"WFWD76759/950","SW HIDDEN COVE FLORAL STRAPPY MIDI DRESS","Платья"
"WFKT78577/382","KNT JUICYLAND TEE","Футболки"
"WTKT68025/689","TRK STRETCH VELOUR CAMI","Топы, майки"
"WTKJ68027/695","TRK REVERSIBLE METALLIC CRACKLED JACKET","Куртки"
"WTKJ68021/689","TRK VELOUR FAIRFAX JACKET","Толстовки"
"WTKB68022/689","TRK VELOUR SILVERLAKE PANT","Брюки"
"WFSD73435/661","SWTR MIX STITCH STRIPE DRESS","Платья"
"WTKJ50586/650","LOGO VLR STUDDED MEDALLION ROBERTSON JCK","Толстовки"
"WTKJ50551/672","J BLING WESTWOOD VLR JACKET","Толстовки"
"WTKB50587/650","LOGO VLR STUDDED MEDALLION DEL REY PANT","Брюки"
"WTKB50554/672","BLING ZUMA VLR PANT","Брюки"
"WTKT50589/650","LOGO STUDDED MEDALLION SS TEE","Футболки"
"WHB484/660","WESTLAKE CONVERTIBLE CROSSBODY FANNYPACK","Crossbody"
"WHB483/660","WESTLAKE BACKPACK","Backpack"
"WFWT52973/660","SW SILK CHARMEUSE BLOUSE","Блузки"
"WFWJ52831/831","SW STOCKHOLM FLORAL EMB JACKET","Кардиганы"
"WFWJ52523/689","HW BRUSHED WOOL COAT","Пальто"
"WFST53119/031","SWTR BASKET WEAVE STITCH LOOSE PULLOVER","Свитера"
"WFKT56980/831","KNT JUICY GLITTER FASHION GRAPHIC TEE","Футболки"
"WFKT56741/660","KNT COUTURE CROWN GRAPHIC TEE","Футболки"
"WFKT52604/650","KNT HAUTE MESS FASHION GRAPHIC TEE","Футболки"
"WFKT43283/680","KNT LOVE CROWN GRAPHIC TEE","Футболки"
"WIKD33339/533","OOH LALA JUICY GRAPHIC NIGHTIE","Футболки"
"WJW80/RGLD","N - MULTI ICON STATION NECKLACE","Колье, цепочки, шнурки"
"WIKD26612/SOFT","WAIT, WHAT' GRAPHIC NIGHTIE","Футболки"
"WIKB24577/SOFT","SLEEPY HEART JACQUARD SHORTS","Трусы"
"WTKT25281/SOFT","J BLING S/S TERRY JACKET","Толстовки"
"9JMS2016/WBHRT","WINTER BLOSSOM FLANNEL NIGHTIE","Сорочки ночные"
"YSRU3015/RGLD","BOW AND PEARL KEYFOB","Ключницы"
"9JMS2018/WBHRT","WINTER BLOSSOM FLANNEL PJ TOP","Пижамы"
"9JMS2017/WBHRT","WINTER BLOSSOM FLANNEL PANT","Пижамы"
"YJRU8301/RGLD","N - pave octagon and chain necklace","Колье, цепочки, шнурки"
"YJRU8291/RGLD","R - stackable ring set","Кольца"
"YJRU8215/RGLD","N - multi layer dram necklace","Колье, цепочки, шнурки"
"WFST69132/113","SWTR YEAH INTARSIA PULLOVER","Свитера"
"WTKT64658/967","TRK LT WT VLR COLORBLOCKED HOODIE","Толстовки"
"WFWD64950/134","SW DOWNTOWN FLORAL DRESS","Платья"
"WTKR77858/653","TRK MICROTERRY FLAMINGO ROMPER","Комбинезоны"
"WTKT87097/652","TRK VLR JUICY GEMS COLORBLOCKED PULLOVER","Толстовки"
"WTKB87100/652","TRK VLR JUICY GEMS COLORBLOCKED ZUMA PNT","Брюки"
"WFKD43038/611","FT FRENCH TERRY LOVE CROWN TUNIC","Блузки"
"WFKT42060/611","FT FRENCH TERRY LOVE CROWN PULLOVER","Свитера"
"WFWD42018/611","SW CORAL REEF GUIPURE LACE DRESS","Платья"
"WFST41640/611","SWTR POPCORN STITCH LOOSE PULLOVER","Свитера"
"WSG71/654","LARCHMONT COSMETIC BAG","Косметички"
"WHB287/654","TOPANGA FRINGE MINI DRAWSTRING","Pouches"
"WTKT31326/519","LOGO JC CROWN VLR ORIG JACKET","Толстовки"
"WTKB34246/519","LOGO JUICY DIAMONDS VLR ORIG PANT","Брюки"
"WTKB31356/519","LOGO JC CROWN VLR ORIG PANT","Брюки"
"WFKT78577/605","KNT JUICYLAND TEE","Футболки"
"WHB293/821","MINI J","Crossbody"
"WJW57502/712","FABERGE EGG CHARM","Подвески, кулоны"
"WJW58047/712","JUICY TREATS KEY FOB","Брелки"
"WJW57579/712","PEARL WISHES RINGS","Кольца"
"WJW57531/712","MASH UP ENAMEL HEART KEY FOB","Брелки"
"WJW57529/712","TEXT KEY FOB","Брелки"
"WJW57523/712","HEDGEHOG KEY FOB","Брелки"
"WJW57504/712","MATRYOSKA DOLL CHARM","Подвески, кулоны"
"WJW57503/712","CAVIAR CHARM","Подвески, кулоны"
"WJW57501/712","HEDGEHOG CHARM","Подвески, кулоны"
"WJW57499/712","SNOW GLOBE CHARM","Подвески, кулоны"
"WJW57447/712","BIRD EXPRESSIONS EARRINGS","Серьги"
"WJW57435/712","VINTAGE CHARM LUXE WISHES RING","Кольца"
"WJW57432/712","VINTAGE CHARM LUXE WISHES STUD SET","Серьги"
"WJW57320/712","VINTAGE CHARM LUXE WISHES BRACELET","Браслеты"
"WJW57299/712","VINTAGE CHARM LUXE WISHES NECKLACE","Колье, цепочки, шнурки"
"WJW1113/712","JC LIPSTICK KEY FOB","Брелки"
"WSG145/712","BRENTWOOD PHONE CROSSBODY","Чехлы"
"WSG126/712","BRENTWOOD COSMETIC CASE","Косметички"
"WSG125/712","BRENTWOOD TECH WALLET","Кошельки"
"WHB433/712","BRENTWOOD BACKPACK","Backpack"
"WHB429/712","BRENTWOOD MULTI CLUTCH","Clutch"
"WJW657/710","R - LUXE LEOPARD DOUBLE FINGER RING","Кольца"
"WJW638/710","R - LUXE LEOPARD DOUBLE RING","Кольца"
"WJW644/710","R - PEARL AND PAVE RING","Кольца"
"WJW603/710","R - ESTATE JEWELS DOUBLE FINGER RING","Кольца"
"WJW530/710","R - PAVE HEART PADLOCK RING","Кольца"
"WJW501/710","R - PADLOCK AND KEY STACKING RING SET","Кольца"
"WJW483/710","R - KEY DANGLE RING","Кольца"
"WJW427/710","K - GOLD MEDALLION KEYFOB","Ключницы"
"WJW425/710","K - JC PADLOCK & CHARMS KEYFOB","Ключницы"
"WJW424/710","K - ENAMEL HEART & CHARMS KEYFOB","Ключницы"
"WJW64/GOLD","N - MULTI CHARM LEATHER & CHAIN NECKLACE","Колье, цепочки, шнурки"
"WJW58/GOLD","R - TRIPLE FINGER JUICY HEART RING","Кольца"
"WJW80/GOLD","N - MULTI ICON STATION NECKLACE","Колье, цепочки, шнурки"
"WJW109/GOLD","N - PAVE STRAWBERRY WISH NECKLACE","Колье, цепочки, шнурки"
"WJW150/GOLD","E - MULTI LAYER CHANDLIER EARRING","Серьги"
"WJW85/GOLD","R - TRIPLE FINGER ICON RING","Кольца"
"WJW57/GOLD","R - PAVE TWIST KEY RING","Кольца"
"YJRU8411/GOLD","N - LOVE HEART PENDANT","Колье, цепочки, шнурки"
"YJRU8374/GOLD","N - ""SEE NO EVIL"" NECKLACE","Колье, цепочки, шнурки"
"YJRU8370/GOLD","N - ""HEIRESS TO THE THRONE"" NECKLACE","Колье, цепочки, шнурки"
"YJRU8181/GOLD","N - ""UNLOCK MY HEART"" NECKLACE","Колье, цепочки, шнурки"
"WFKT52791/015","FT COUTURE CROWN FLEECE PULLOVER","Свитера"
"WFKB52795/015","FT COUTURE CROWN FLEECE PANT","Брюки"
"PATTY/NUDE","PATTY","Балетки"
"WFWD24020/PRPO","COTTON SILK VOILE WITH LACE DRESS","Платья"
"WTKT62183/122","TRK 24 KARAT CLASSIC SS TEE","Футболки"
"WFKT42021/661","FT ANTIBES TILE EMBELLISHED PULLOVER","Свитера"
"WHB311/673","FAIRFAX CHARM CROSSBODY","Crossbody"
"WFST32294/650","NEEDLE PUNCH MOCK NECK PULLOVER","Свитера"
"PATTY/AZALEA","PATTY","Балетки"
"9JMS2032/RSFIP","SNOWFLAKE PJ TOP","Пижамы"
"JG010098/REG","Charm d'or slim pant","Брюки"
"JG010096/REG","Charm d'or pullover","Свитера"
"JWFWJ86460/467","DNM SEQUIN PATCH DENIM JKT","Куртки"
"WFWB93605/488","DNM DOME STUD EMBELLISHED BOYFRIEND JEAN","Джинсы"
"WTKT74266/477","TRK JUICY LA TEE","Футболки"
"WTKJ72760/477","TRK VELOUR ROBERTSON JACKET","Толстовки"
"WTKB68022/477","TRK VELOUR SILVERLAKE PANT","Брюки"
"WFWD65335/456","SW PLEATED FRONT WASHED SILK SHIRT DRESS","Платья"
"WFWD64962/430","SW DREW LACE DRESS","Платья"
"WFWB65319/973","HW STUDDED PASTEL TWEED SHORT","Шорты"
"WFST53126/451","SWTR FANCY STITCH CHAINETTE PULLOVER","Свитера"
"WFKR52648/450","FT DREAMIN' OF JUICY ROMPER","Комбинезоны"
"WSG147/451","LAUREL CHAINED WALLET","Кошельки"
"WHB458/451","BALBOA MINI CROSSBODY","Crossbody"
"WHB453/451","LAUREL BACKPACK","Backpack"
"WHB451/451","LAUREL CROSSBODY","Crossbody"
"WFWJ53336/468","DNM JACKET WITH SHERPA","Жакеты"
"WFWB53257/464","DNM WATER WASH GIRLFRIEND JEAN","Джинсы"
"WFKT57055/450","FT DREAMIN' OF JUICY PULLOVER","Свитера"
"WFKB52645/450","FT DREAMIN' OF JUICY SLIM PANT","Брюки"
"GHB87/451","TOO COOL FOR SCHOOL LUNCHBOX","Bowling"
"WFWB42888/469","DNM INDIGO FLARE JEAN","Джинсы"
"WJW625/444","B - STUDDED LEATHER DOUBLE WRAP","Браслеты"
"WFWB32470/492","CORE SKINNY DENIM","Джинсы"
"WTKJ50580/507","LOGO VLR GEO CROWN SUNSET JACKET","Толстовки"
"WTKB50581/507","LOGO VLR GEO CROWN DEL REY PANT","Брюки"
"WTKT50582/507","LOGO GEO CROWN SS TEE","Футболки"
"WHB463/504","SILVERLAKE BACKPACK","Backpack"
"WHB461/504","SILVERLAKE BUCKET BAG","Pouches"
"WFWT52908/503","SW SILK JUICY CHAIN PRINT BLOUSE","Блузки"
"WFWJ53190/504","HW QUILTED NYLON PUFFER PARKA","Куртки"
"WFWJ52859/600","SW EMB VARSITY JACKET","Кардиганы"
"WFWJ52541/501","HW FAUX TEDDY FUR JACKET","Куртки"
"WFWJ52531/507","HW IRIDESCENT PUFFER VEST","Жилеты"
"WFWJ52530/507","HW IRIDESCENT PUFFER JACKET","Куртки"
"WFST53129/507","SWTR EMBROIDERED BACK CARDIGAN","Кардиганы"
"WFSD53143/984","SWTR CRAFTSMAN JACQUARD SWEATER DRESS","Платья"
"WFSD53140/531","SWTR BOUCLE COWL NECK SWEATER DRESS","Платья"
"WFKT52802/504","FT ROMA FLORAL MIRROR EMB FR TR PULLOVER","Свитера"
"WFKD53100/504","KNT PONTE FLORAL EMBROIDERED DRESS","Платья"
"WFWD49924/968","SW SILK IPANEMA PAISLEY SHIRT DRESS","Платья"
"WFKT45068/531","KNT LION MEOW GRAPHIC TEE","Футболки"
"WFSJ41750/506","SWTR EXPLODED FLORAL JACQUARD JACKET","Жакеты"
"WFWR42033/537","SW SILK SEASIDE FLORAL JUMPSUIT","Комбинезоны"
"WJW575/533","R - ROYAL PUNK RING SET","Кольца"
"WSG46/462","LUXE LOCKS FLAP WALLET","Кошельки"
"WTKT31328/518","LOGO JC MEDALLION LOGO VLR ORIG JACKET","Толстовки"
"WTKT31322/518","LOGO JC MONOGRAM VLR ORIG JACKET","Толстовки"
"WTKB31357/518","LOGO JC MEDALLION VLR ORIG PANT","Брюки"
"WTKB31353/518","LOGO JC MONOGRAM VLR BOOTCUT PANT","Брюки"
"JWFKT78568/049","KNT LICENSE PLATE GRAPHIC TEE","Футболки"
"WTKT99525/049","TRK FLORAL COUTURE CLASSIC SS TEE","Футболки"
"WTKT96408/114","TRK FR. TERRY W VELOUR COLORBLOCK PLVR","Толстовки"
"WTKT87126/049","TRK INTERWOVEN JC HIGH-LOW SS TEE","Футболки"
"WTKT87125/147","TRK VLR INTERWOVEN JC CREW SS TEE","Футболки"
"WTKT87097/044","TRK VLR JUICY GEMS COLORBLOCKED PULLOVER","Свитера"
"WTKJ103828/513","TRK VLR GOTHIC CRYSTALS ROBERTSON JKT","Толстовки"
"WTKB103829/513","TRK VLR GOTHIC CRYSTALS ZUMA PANT","Брюки"
"WTKB103791/147","TRK VLR INTERWOVEN JC DEL REY PANT","Брюки"
